LCLid,average_consumption_2011,average_consumption_2012,average_consumption_2013,average_consumption_2014,average_annual_consumption,average_monthly_consumption,average_monday_consumption_january_2012,average_sunday_consumption_january_2012,average_consumption_period1,average_consumption_period2,average_consumption_period3,average_consumption_period4,average_consumption_autumn,average_consumption_spring,average_consumption_summer,average_consumption_winter,total_consumption_2011,total_consumption_2012,total_consumption_2013,total_consumption_2014,average_total_consumption_per_year,average_total_monday_consumption_january_2012,average_total_sunday_consumption_january_2012,total_consumption_period1,total_consumption_period2,total_consumption_period3,total_consumption_period4,total_consumption_autumn,total_consumption_spring,total_consumption_summer,total_consumption_winter,label,component_1,component_2
MAC004470,0.3715041301712529,0.1813727305694406,0.3277975535241764,0.2325745696092992,0.2390566175402261,0.1765064462226564,0.3705395940624094,0.3033421645623319,0.1882560617955612,0.2917871792219804,0.0658861518858976,0.2397223694437792,0.2383196908782132,0.2474911689629357,0.1573725862995373,0.208520337631622,0.371504130171253,0.4846226756995327,0.3279473011502724,0.2325745696092991,0.4131208045340845,0.3703902449088657,0.3046009776228912,0.1918095050929862,0.3078858578625458,0.0702427846707238,0.2533693317207873,0.2385108053055414,0.2475191974078918,0.2703602530764852,0.2487588627053972,3,0.4743713845321122,0.4763381173726014
MAC004471,0.2269247836948701,0.1045995177241598,0.1537524480205492,0.0,0.1239519930808657,0.1016684404651116,0.1701518324930727,0.1384696000778329,0.0516060325581289,0.0605065383965179,0.1099100473278824,0.2118756722228442,0.1375008602992267,0.124498658637294,0.0788876103452168,0.1124341276237319,0.2265992101171157,0.195461745398764,0.0981848804370604,0.0,0.1451673351819565,0.1701518324930727,0.1390442229342363,0.0400717945174608,0.0486701581909545,0.0885386668121051,0.1704337249859683,0.0687898106228346,0.1245127581456334,0.1281604041548159,0.0870497620085037,2,-0.2795283174824302,0.2439957944541733
MAC004472,0.5037625752006408,0.1749095309803322,0.2614196438364415,0.2353587313121884,0.2089838913377495,0.1699622839314938,0.3532881510076848,0.2818074603815337,0.0805370166415056,0.1692291214537969,0.1634853449826672,0.3434601131447378,0.2343448470076421,0.1799130128610369,0.1325544399026115,0.2066541468532602,0.5037625752006409,0.1127189725861734,0.2615092120104376,0.2352742218934049,0.1638584199351066,0.3532881510076848,0.2829769084607453,0.082361006281107,0.1788636433960508,0.1731361445632892,0.3625212858727283,0.2345327739098134,0.1799333880606815,0.2276978174445945,0.2465542557392485,3,0.3540078723668527,0.5705091747153652
MAC004473,0.163727951411941,0.0949823046835474,0.152812971260052,0.1152519690832337,0.117754070047032,0.0922183365310894,0.1779453734736238,0.2197039176296011,0.0357222886333044,0.1143534397425828,0.089422715468429,0.172106602614621,0.1255370074308461,0.0996387060434796,0.0897937831392566,0.1031913369079948,0.1632581438038723,0.1885287293787751,0.1528827807489785,0.1152519690832337,0.163807763807761,0.1779453734736239,0.2206156476601664,0.0368267676685617,0.1210936191016757,0.0950372032758966,0.1821752473167844,0.1256376786477114,0.0996499901551494,0.154262384940108,0.1231757117163439,2,-0.1901911921519848,0.2577785342303504
MAC004474,0.1028738660656377,0.0698659968464196,0.1195988121088794,0.0,0.0894463456365094,0.0679240195009066,0.1529025114493253,0.1197857875746009,0.0246751385743782,0.0572367496679848,0.0612045985737903,0.1626837359429774,0.0899060802422945,0.081546253772404,0.0513405425590416,0.0787531221610679,0.102578675632164,0.1023670150305591,0.051781532286976,0.0,0.0703773357221552,0.1529025114493253,0.1202828761151466,0.0166504291333945,0.0401548248508888,0.0429729098154069,0.1145429049285338,0.0449787893708443,0.0815185483634213,0.0473858134873638,0.0610028438327776,2,-0.4799247805025527,0.1858848378306238
MAC004475,0.2492318213624876,0.1123896941164553,0.1848789248457229,0.1672030138117442,0.1409379869796917,0.109224114710727,0.1884697400107244,0.1820987186857857,0.0296035804063285,0.1413828939123828,0.102383362313351,0.244637384594682,0.1470994133203457,0.1252612457566607,0.0920567822407729,0.1393341234234676,0.2481590875546147,0.075251174684688,0.184878924845723,0.1672030138117443,0.1096304626658728,0.1884697400107245,0.1828543941973768,0.03060982219571,0.1495172473158271,0.1086601192178628,0.2584632144672243,0.147200524155484,0.1252754316282074,0.1580247871416479,0.1662615290298861,2,-0.0630471892627422,0.2648772667446223
MAC004476,0.0606485724311646,0.0444808572089944,0.0729343523127527,0.054558350855334,0.0556756228337382,0.043273319641597,0.1006036309995669,0.0720091851282972,0.0173774485116545,0.0415182456336536,0.0521137472006279,0.0750030858886293,0.0673583306509603,0.0522012601235132,0.037223001506724,0.0443656044740803,0.0603875312298827,0.1211344378707682,0.0729468467769452,0.054558350855334,0.0903715614116582,0.1006036309995669,0.0723080097340045,0.0181873969854386,0.0443831037359162,0.0557043807649941,0.0799157460473952,0.0673660472657674,0.0522012601235133,0.0639404985575509,0.0530321086073922,2,-0.5540503388011021,0.0821182273787094
MAC004477,0.1230804099061097,0.0838168148419465,0.1377760607765679,0.1068756927628202,0.1050628430993668,0.0815000368971601,0.0701703558522684,0.1087164340031816,0.0406691889231289,0.0843180500400303,0.0798747737491434,0.1576022908607654,0.1094104383949364,0.0954911765401438,0.0842301642759566,0.0867192590272313,0.1221974801363385,0.0479235367369793,0.1378075308681111,0.1068756927628202,0.0737504458971323,0.0701703558522684,0.1091675868035782,0.0418485919964905,0.0894645596269115,0.0849216542982224,0.1668857657341965,0.1094856431870512,0.0954587333318063,0.1446715264985687,0.1035223250128617,2,-0.3250290177183557,0.0714777228446711
MAC004478,0.3811522134592536,0.2237645104470848,0.3596567563440664,0.2650313065134068,0.2772988017067339,0.2173820578113035,0.3972637970675587,0.3160060856958293,0.0635486847036837,0.2634453557934371,0.280967348850319,0.3763363042678052,0.282140974699722,0.2633105162769396,0.208128919011712,0.2336941983432277,0.3313891554609867,0.090323307096075,0.3598005204654922,0.2650313065134068,0.1914338291759424,0.3956705710161886,0.3173174516526987,0.0649340392976101,0.2775260285030291,0.2961972678533804,0.3961767270432429,0.2823349082371488,0.2633701562579764,0.3575577432174109,0.2767090709330196,3,0.6291902068687577,0.4779352097672019
MAC004479,0.24479352109991,0.1463477426371207,0.2450551725207772,0.1971396654506074,0.1852279409980146,0.1421410273802476,0.2633988565768295,0.2215360579210252,0.064728189214202,0.1802606457595267,0.1303861250600889,0.2777320491617343,0.1849955545942389,0.1635029988471859,0.1305952654453775,0.1736907128567422,0.212482181155589,0.2411736446647127,0.210910893115187,0.1664892255439241,0.2193348243884966,0.2633988565768297,0.2224553909899976,0.0604724140181666,0.1740166519980732,0.126156048686501,0.2679773219472497,0.1739538907216764,0.1528558613231619,0.2023842923029178,0.1844288186578389,3,0.1274876248608695,0.3060230517253307
