LCLid,Mean_KWH_January,Mean_KWH_February,Mean_KWH_March,Mean_KWH_April,Mean_KWH_May,Mean_KWH_June,Mean_KWH_July,Mean_KWH_August,Mean_KWH_September,Mean_KWH_October,Mean_KWH_November,Mean_KWH_December
MAC000036,0.0509825386165211,0.0020542750929368,0.0016796507723304,0.0013268563497571,0.0008871725990597,0.0014743055555555,0.0029335124244459,0.0022001343183344524,0.0023837612768910477,0.001595701813297515,0.21214573247744622,0.22298791128274006
MAC000037,0.0008764271323035,0.3018914497397769,0.2738777702484889,0.2416675916030534,0.1848784417058428,0.2004580153365718,0.1782273032952253,0.17783064509408603,0.2036932683553088,0.2631578240429819,0.831421234906315,0.7226427126930826
MAC000038,0.2874479517797179,0.2029643124163568,0.1799200806581598,0.2006877172102706,0.1897508394224311,0.1536748079553384,0.1764889187374076,0.17553897856182796,0.16389382373351838,0.19996776353257217,0.26397501734906315,0.29473069207521824
MAC000039,0.2113888513767629,0.6538981421561338,0.709924110073875,0.6460798050659264,0.6201363331766286,0.6296106872310895,0.6303546005372733,0.5505601077904634,0.6247980566967384,0.6000147748824715,0.21132338646773072,0.2222887844190732
MAC000040,0.6598368031564809,0.2339962827509293,0.2129006045668233,0.1670097154753643,0.1173707186030893,0.1174538514920194,0.1085248655913978,0.06947078576225654,0.1339013890277778,0.19462256521155136,0.06039764052741152,0.06284274193548388
MAC000041,0.2202981867024848,0.2483955388847583,0.2388515780389523,0.1926655099930603,0.1839979853593015,0.1580582927827897,0.1816162633736559,0.1831437206850235,0.15500902158223456,0.20382672934855608,0.4737529493407356,0.4547239764271323
MAC000042,0.2448671610249494,0.108438244047619,0.120469442578912,0.0815135322692574,0.0530873069173942,0.0528084663428174,0.0557777031564808,0.05082404298186703,0.05319222761970854,0.056081262592343854,0.08457182512144344,0.08163129617192748
MAC000043,0.1307965077233042,0.4491412640148698,0.4467231185483871,0.2905107569049271,0.317352585560779,0.3551422619708536,0.3843324384822028,0.3767501684351914,0.3891804299791811,0.3614372065144392,0.7232491324774462,0.7999670917394224
MAC000045,0.7874553391537945,0.130739033457249,0.112,0.1049429366736256,0.1112936827956989,0.1087439278278972,0.1081309603760913,0.0953138440860215,0.08000902151283831,0.07948153122901276,0.21831575287994448,0.21814036272666218
MAC000047,0.1198327736736064,0.857449814126394,0.8790429827400941,0.8046897996530187,0.771895231699127,0.6816016651630812,0.5103163203492277,0.5503109472800537,0.6429229691880639,0.6581403620550705,0.1964138889583333,0.2021296171927468
MAC000049,0.8922686362659502,0.5058156125650558,0.4848280723304231,0.3821170357607282,0.1470597717259906,0.1382317834836919,0.158619879113499,0.1477548690396239,0.15486745315752948,0.16899261255876427,0.27453157515614157,0.24724378757555407
MAC000050,0.5136957695768972,0.2375606847356664,0.2254660844862323,0.1847192493398193,0.1931799865681665,0.2004448299097848,0.2051457353928811,0.21470651443922095,0.2019174184594032,0.19995768972464742,0.1316231783483692,0.08880859637340496
MAC000053,0.2545265278038952,0.2059167286245353,0.1968247145735392,0.2066738376127689,0.2625587643384822,0.2127493055555555,0.2448453261600537,0.28522162525184686,0.20211450374739764,0.25293351222296845,0.1414559333795975,0.1628179985896575
MAC000054,0.2072518468770987,0.2907085501115242,0.2870732031564809,0.2733990281748785,0.1137924781732706,0.1214365024288688,0.1177876344086021,0.07435795836131631,0.1210145732130465,0.12505507051712558,0.07608466342817488,0.06682404298186703
MAC000055,0.3029657485560779,0.1377591078810409,0.1345961022177419,0.1233219986814711,0.1613881799865681,0.1777203331020125,0.1042605775688381,0.1572370719274681,0.13520194309507286,0.17971793149764945,0.3548507980569049,0.37315245144392206
MAC000056,0.1180167897246474,0.1947338289962825,0.1792901276024177,0.1921582234559333,0.0681323035594358,0.068119361554476,0.0729153794492948,0.06948354600402955,0.06907916666666666,0.07091000671591671,0.2735780709923664,0.28163129617192745
MAC000057,0.1322975151108126,0.0733457249070632,0.0741719274680994,0.071913948646773,0.3546155915994624,0.3562546843164469,0.353165883143049,0.36445332431161853,0.3084011102706454,0.37307790436534594,0.1326120749479528,0.13173069173942242
MAC000058,0.0734489247311828,0.3793784389591078,0.376268145094086,0.3735114505204718,0.1729456010745466,0.1466530187369882,0.1594304901947615,0.18375688388179987,0.17044552394170714,0.20540094022834116,0.27607772394170715,0.269562122095366
MAC000059,0.3843391536601746,0.2927933085501858,0.3006453994627266,0.199941013185288,0.1185681665547347,0.1093039555863983,0.1170362903225806,0.1254459368703828,0.12390700902151285,0.12038079247817328,0.19008813324080498,0.18437676292813968
MAC000060,0.2671873740765614,0.1376208178438661,0.1402471457353928,0.126941013185288,0.25031430483546,0.2354642609299098,0.2275638440860215,0.250153122901276,0.25007772380291465,0.25020349234385497,0.1322623178348369,0.09691739422431161
MAC000061,0.1333579583613163,0.2508260223048327,0.2638312036987222,0.241470506592644,0.2585033601478494,0.2700541290770298,0.1884963062458025,0.2392236399597045,0.24052626802536228,0.1474425789120215,0.4254284718771808,0.4662155806581598
MAC000062,0.2675144393552719,0.3332133831226765,0.2865634655473472,0.2548154061068702,0.1783734050369375,0.1460055517002081,0.0894445936870382,0.09074479516453995,0.05802708333333333,0.12116722632639355,0.0719562803608605,0.11478576225654802
MAC000063,0.3474969778374748,0.1889472118215613,0.0819066488247145,0.1794479166666666,0.146648085963734,0.1324472222222222,0.1331135752688172,0.09445198119543319,0.10222553782095765,0.3754620552719946,0.09602706453851492,0.09513297515110812
MAC000066,0.1843391537944929,0.1805063197026022,0.178568838146407,0.1611165857043719,0.3678099396910678,0.331073560166551,0.3161545698924731,0.31994354825268817,0.3464094378209577,0.05754130288784419,0.09321512838306732,0.10738306451612903
MAC000067,0.189941571524513,0.4526208176951673,0.4285265279382135,0.3753500000694444,0.1091759570181329,0.1062220680083275,0.1073337819650067,0.059194089993284085,0.05339902845246356,0.08755607790463399,0.08104728776077887,0.09304902639355271
MAC000068,0.4324979836693548,0.103321189591078,0.1599012760241772,0.1107702984038861,0.0911950235373234,0.0901061762664816,0.0870752182672934,0.08680792471457355,0.0864205412907703,0.07841034251175286,0.2972963220680083,0.320094276026936
MAC000069,0.2296997985896574,0.097435687732342,0.0946118199462726,0.0982401110340041,0.0897038280725319,0.0698813324080499,0.0486218938885157,0.07691336467427803,0.06629701589174185,0.07177165876427133,0.13644621790423317,0.14014237743451982
MAC000070,0.0850812625923438,0.1267509293680297,0.1101987911349899,0.0849292158917418,0.0805971755211835,0.0945090278472222,0.0868971082716879,0.10764942907991941,0.0768408618485059,0.2815413028878442,0.1397487857737682,0.11865010067159167
MAC000072,0.1261934184016118,0.0823335816827997,0.0898643386165211,0.0685093815844336,0.2371156691324815,0.2365725192227619,0.2390040294828744,0.24757085292142375,0.24588063844552396,0.13239422431161854,0.43319222768910476,0.5549180661517797
MAC000073,0.0880638440188172,0.2877568773234201,0.3249670920752183,0.2830124913948647,0.1172189388851578,0.1253858431644691,0.1443660174613835,0.1424684139784946,0.14227272727272727,0.09817192753525855,0.26053504524635673,0.24554398918737408
MAC000074,0.3136816654130289,0.1236022304832713,0.1247635997313633,0.1131596113809854,0.075788448623237,0.0771228313671061,0.0643250503693754,0.07844018823924731,0.06338861894517696,0.2546693547715054,0.3294594031922276,0.2605775687709872
MAC000077,0.1189308260577568,0.1054312267657992,0.0901423775688381,0.1163872312283136,0.2171195433176628,0.2122218234027279,0.3052264497282609,0.25425954212352536,0.2580284523247745,0.251530557421088,0.27102359472588483,0.32723304244459367
MAC000078,0.1522625922766957,0.3517353162081784,0.2790282067830759,0.2545773764746704,0.0810423476968796,0.2519882024982651,0.2347849460349462,0.17617394224311617,0.24969166652777777,0.23947916646505377,0.4848466342123525,0.5607877768300873
MAC000079,0.5519368705842848,0.077428145941921,0.0821356615177971,0.046258154129077,0.2562135661517797,0.1709958360166551,0.1705540631296172,0.1619053055070517,0.19590006946564886,0.29499194089993286,0.1695204718945177,0.17997582263263937
MAC000080,0.0903176628609805,0.3256356881040892,0.3225194890456989,0.2970097156835531,0.2019670919408999,0.232943095072866,0.2750772330423102,0.261766285963734,0.2804198471894518,0.40270094032258064,0.3146120749479528,0.33128274009402287
MAC000081,0.3476071193418401,0.5468959105576209,0.5089006040967092,0.3472893821651631,0.2536041666666667,0.4526051349063151,0.4670302223640026,0.4260255205507052,0.47358847987508673,0.16918401611820014,0.24053157536433034,0.27779919415715243
MAC000083,0.6302464742108798,0.2913613382899628,0.2778085964405641,0.2694163774462179,0.4538938883814641,0.0781020124913254,0.1006487574210879,0.09379704307795698,0.13236780020818878,0.2909644055742109,0.4014427480916031,0.413591
MAC000084,0.2941034250503693,0.7061323421561339,0.7310282069173942,0.5789083984038862,0.0851779717931497,0.2573611113194444,0.2727172599731363,0.2829321693082606,0.29972657876474673,0.13163508064516127,0.16640111027064539,0.17857219617192746
MAC000085,0.7339717937541975,0.1017130111524163,0.0837280053727333,0.0787779319916724,0.2549025537634409,0.0900242886884108,0.0746789791806581,0.11651981195433175,0.0747793199167245,0.27069644110141033,0.08557876467730742,0.10122834116856952
MAC000086,0.0887253190060443,0.4812847584386617,0.4717770317662861,0.2830770833333333,0.0693680322364002,0.1965673610416666,0.1970006715245131,0.19611887199462727,0.22172727238029147,0.11390329079919409,0.2604451389583333,0.31556048373655915
MAC000087,0.4310591,0.1899568772490706,0.1274828744795164,0.140530881332408,0.2415920698924731,0.0870909090909091,0.0986265950302216,0.10021558092679651,0.09851561415683555,0.07800537266621893,0.14963913948646773,0.19898992612491603
MAC000089,0.1465520482874412,0.5095791823791822,0.468169240967092,0.2973152778472222,0.1149422431161853,0.0752172102706453,0.0639059771658831,0.07831922043010753,0.07783541666666667,0.24257325262096774,0.5980707843858432,0.591056413230356
MAC000090,0.5497145728676964,0.1446431226765799,0.1399536601074546,0.1551221373351839,0.0812204299059139,0.1941866758501041,0.235188717259906,0.22574815319006042,0.23638584316446912,0.17986501000671593,0.4510749482997918,0.4148354601746138
MAC000091,0.1461571524513095,0.1297851298884758,0.1214002685695097,0.0932826389583333,0.1532001343183344,0.1727446217904233,0.2133754196776359,0.2429442577568838,0.16557182512144344,0.5471188719946273,0.24918449382627422,0.2589402286769644
MAC000092,0.1321584957018133,0.2286247208488458,0.244311618468771,0.2421644689798751,0.2112231182795699,0.1762977098542678,0.1353304231027535,0.1612585629281397,0.055770279971284996,0.39805641343183346,0.08665648854961833,0.09319073203492276
MAC000093,0.2594721288112827,0.3737784388104089,0.3474345199462726,0.2554816099236641,0.1905090666218938,0.5414476061762665,0.5301014106111485,0.4781161854264607,0.6323171405968078,0.23805104096709204,0.24091880638445523,0.26176024177300206
MAC000094,0.4140188043653459,0.1571895910037174,0.1762055069845533,0.1951986110416666,0.5358260576897246,0.3851936151283831,0.3647580647849462,0.3404613834116857,0.3474018039555864,0.08539355271994627,0.19125746023594728,0.27362055077233044
MAC000095,0.1809529885157824,0.6963311005952381,0.6632894559435862,0.613081887369882,0.4480060439892545,0.1597328244274809,0.2022726662189389,0.18011417058428475,0.21386398334489937,0.23721961067830757,0.10776266481609993,0.10184351914036267
MAC000096,0.8069973143720619,0.4376401491449814,0.4206030893216924,0.3701575291464261,0.1844539961047683,0.073530187369882,0.0827991940899932,0.08063868368032236,0.08644829979181125,0.23085359308260578,0.35469384076086957,0.29715849543317663
MAC000097,0.4273384820013431,0.2678728623791822,0.2603465412357286,0.2199014573213046,0.0834425789120214,0.2408848020124913,0.2241813296843519,0.22049630597716588,0.23541707133934767,0.103135661450638,0.13553018736988204,0.9739845537273338
MAC000098,0.2484489937543372,0.0915085501858736,0.0900899933512424,0.0869257460097154,0.2239556749496306,0.2224406662040249,0.2063878789225589,0.16139758226997986,0.22674115197779318,0.4163465411685695,1.5663532275503123,0.06638683680322363
MAC000099,0.0930201477501679,0.2503568770260223,0.2535298857622565,0.2384517693268563,0.2411618536601746,0.0538917418459403,0.0551806581598388,0.053456682337139017,0.06857390700902151,0.143877098791135,0.0705176960444136,0.37865883149764945
MAC000100,0.2592249834788449,0.2684750930855018,0.1933861653458697,0.2605496183206107,0.0515849563465413,0.4020340042331713,0.354006044593687,0.36167024855607793,0.37045176960444137,1.1254076554734722,0.329847916875,0.21124244439220954
MAC000101,0.2614345198119543,0.0595078066914498,0.0603848220282068,0.055589174184594,0.3575789122229684,0.1281013184594032,0.1191867024848891,0.13402016129032257,0.124111805625,0.06796440564137005,0.21279111721027064,0.2990758899261249
MAC000102,0.0680785762256548,0.7414438664684015,0.7201007384822028,0.6255551694656488,0.1323057795698924,0.92740596814712,0.7131014782258064,0.7147770320349227,0.8565329635669674,0.3173638195023537,0.3229639140874393,0.5666367552045944
MAC000103,0.7337515106783076,0.1187539032713754,0.1349449294828744,0.1246548611111111,0.8633646742780389,0.0597002081887578,0.0730261920752182,0.06959637340496978,0.06629632199861207,0.20706514439220952,0.6631765613723978,0.21736803216924108
MAC000104,0.1409885829415715,1.3160639878720235,1.1812988572196106,1.0153363654545455,0.0664590053763441,0.2750666206800833,0.2495383067876344,0.26364607105439897,0.3296412215822346,0.23205036937541976,0.1882921584316447,0.7025997308260579
